EntityOfficialName,EntityStatus,EntityPhone,EntityPhysicalStreet,EntityPhysicalCity,EntityPhysicalState,EntityPhysicalZip4,DistrictOfficialName,EntityActualGrades,EntityReligiousOrientationName
Michigan Technical Academy Elementary,Closed,3132721649,19940 MANSFIELD ST,DETROIT,MI,482352332,Michigan Technical Academy,"KG,1,2,3,4,5",
Michigan Technical Academy High School,Closed,3135379311,23750 ELMIRA,REDFORD,MI,482391496,Michigan Technical Academy,"9,10,11,12",
Michigan Technical Academy Middle School,Closed,3135379311,23750   ELMIRA ST,REDFORD,MI,48239,Michigan Technical Academy,"6,7,8",
Nataki Talibah Schoolhouse of Detroit,Closed,3135313720,19176 NORTHROP ST,DETROIT,MI,482191857,Nataki Talibah Schoolhouse of Detroit,"KG,1,2,3,4,5,6,7,8",
New Horizon Academy,Closed,3139637815,115 State St,Detroit,MI,482261803,New Horizon Academy,"9,10,11,12",
New Paradigm College Prep,Open-Active,3138521500,2450 S Beatrice St                                          ,Detroit                                                     ,MI,482171631,New Paradigm College Prep,"KG,1,2,3,4,5",
New Paradigm Glazer Academy,Open-Active,3138331100,2001 LA BELLE ST,DETROIT,MI,482382941,New Paradigm Glazer-Loving Academy,"KG,1,2,3,4,5,6,7,8",
New Paradigm Loving Academy,Open-Active,3138331100,1000 LYNN ST,DETROIT,MI,482111081,New Paradigm Glazer-Loving Academy,"KG,1,2,3,4,5",
New School High,Open-Active,7343866601,46250 Ann Arbor Road,Plymouth,MI,481703501,New School High,"9,10,11,12",
Northpointe Academy,Closed,3138682916,53 CANDLER ST,HIGHLAND PARK,MI,482032827,Northpointe Academy,"KG,1,2,3,4,5,6,7,8",
Amerman Elementary School,Open-Active,2484652100,847 NORTH CENTER ST,NORTHVILLE,MI,481671118,Northville Public Schools,"KG,1,2,3,4,5",
Cooke School,Open-Active,2483443550,21200 TAFT RD,NORTHVILLE,MI,481671033,Northville Public Schools,"KG,1,2,3,4,5,6,7,8,9,10,11,12",
Hillside Middle School,Open-Active,2483443600,775 NORTH CENTER ST,NORTHVILLE,MI,481672762,Northville Public Schools,"6,7,8",
Meads Mill Middle School,Open-Active,2483443700,16700 FRANKLIN RD,NORTHVILLE,MI,481688822,Northville Public Schools,"6,7,8",
Moraine Elementary School,Open-Active,2484652150,46811 8 MILE RD,NORTHVILLE,MI,481678825,Northville Public Schools,"KG,1,2,3,4,5",
Northville High School,Open-Active,2483443800,45700 6 MILE RD,NORTHVILLE,MI,481689521,Northville Public Schools,"9,10,11,12",
Old Village School,Closed,2483448460,405 WEST MAIN ST,NORTHVILLE,MI,481671577,Northville Public Schools,,
Ridge Wood Elementary School,Open-Active,2484652200,49775 6 MILE RD,NORTHVILLE,MI,481689671,Northville Public Schools,"KG,1,2,3,4,5",
Silver Springs Elementary School,Open-Active,2484652300,19801 SILVER SPRING DR,NORTHVILLE,MI,481672670,Northville Public Schools,"KG,1,2,3,4,5",
Thornton Creek Elementary School,Open-Active,2484652350,46180 WEST 9 MILE RD,NOVI,MI,483743814,Northville Public Schools,"KG,1,2,3,4,5",
Winchester Elementary School,Open-Active,2484652400,16141 WINCHESTER DR,NORTHVILLE,MI,481683489,Northville Public Schools,"KG,1,2,3,4,5",
Nsoroma Institute,Closed,3135210400,20045 JOANN ST,DETROIT,MI,482051136,Nsoroma Institute,"KG,1,2,3,4,5,6,7,8",
Oakland International Academy - Elementary,Open-Active,3139230790,4001 MILLER ST,DETROIT,MI,482111554,Oakland International Academy,"2,3,4",
Oakland International Academy - High School,Open-Active,3132858990,2619 Florian St                                             ,Hamtramck                                                   ,MI,482123452,Oakland International Academy,"9,10,11,12",
Oakland International Academy - K-1,Open-Active,3133470249,6111 MILLER ST,DETROIT,MI,482111552,Oakland International Academy,"KG,1",
Oakland International Academy - Middle,Open-Active,3139251000,8228 CONANT ST,DETROIT,MI,482111407,Oakland International Academy,"5,6,7,8",
Old Redford Academy,Closed,3135432791,17226 Redford St,Detroit,MI,48219,Old Redford Academy,"2,3",
Old Redford Academy - Elementary,Open-Active,3135327510,17195 REDFORD ST,DETROIT,MI,482193259,Old Redford Academy,"KG,1,2,3,4",
Old Redford Academy - High,Open-Active,3135433080,8001 WEST OUTER DR,DETROIT,MI,482353293,Old Redford Academy,"9,10,11,12",
Old Redford Academy - Middle,Closed,3136533888,17226 Redford Avenue,DETROIT,MI,48219,Old Redford Academy,"6,7,8",
Old Redford Academy - Middle School,Open-Active,3136533888,17226 REDFORD ST,DETROIT,MI,482193260,Old Redford Academy,"5,6,7,8",
Orchard Academy,Open-Pending,2484958875,8904 WOODWARD AVE,DETROIT,MI,482021821,Orchard Academy,"KG,1,2",
Pathways Academy,Open-Active,3132093803,11340 E Jefferson Ave                                       ,Detroit                                                     ,MI,482143331,Pathways Academy,"7,8,9,10,11,12",
Pathways Global Leadership Academy,Closed,3133085364,556 Custer St                                               ,Detroit                                                     ,MI,482023126,Pathways Global Leadership Academy,"9,10,11,12",
Pembroke Academy,Open-Active,3139339727,19940 MANSFIELD ST,DETROIT,MI,482352332,Pembroke Academy,"KG,1,2,3,4,5",
Pierre Toussaint Academy,Closed,3133831485,2450 SOUTH BEATRICE ST,DETROIT,MI,482171631,Pierre Toussaint Academy,"KG,1,2,3,4,5,6,7,8",
Plymouth Educational Center,Open-Active,3138313280,1460 EAST FOREST AVE,DETROIT,MI,482071000,Plymouth Educational Center Charter School,"KG,1,2,3,4,5,6,7,8",
Plymouth Educational Center - 9th Grade,Closed,3138312801,1460 E Forest Ave                                           ,Detroit                                                     ,MI,48207,Plymouth Educational Center Charter School,9,
Plymouth Educational Center Preparatory High School,Closed,3133091634,7375 WOODWARD AVE,DETROIT,MI,482023158,Plymouth Educational Center Charter School,"9,10,11,12",
Plymouth Scholars Charter Academy,Open-Active,7344596149,48484 N. Territorial Road,Plymouth,MI,481702850,Plymouth Scholars Charter Academy,"KG,1,2,3,4,5,6,7,8",
Allen Elementary School,Closed,7344163050,11100 NORTH HAGGERTY RD,PLYMOUTH,MI,481704454,Plymouth-Canton Community Schools,"KG,1,2,3,4,5",
Bentley Elementary School,Open-Active,7343976360,1100 SOUTH SHELDON RD,CANTON,MI,481883257,Plymouth-Canton Community Schools,"DevK,KG,1,2,3,4,5",
Bird Elementary School,Open-Active,7344163100,220 NORTH SHELDON RD,PLYMOUTH,MI,48170    ,Plymouth-Canton Community Schools,"KG,1,2,3,4,5",
Canton High School,Open-Active,7344162850,8415 NORTH CANTON CENTER RD,CANTON,MI,481871308,Plymouth-Canton Community Schools,"6,7,8,9,10,11,12",
Central Middle School,Closed,7344162990,650 CHURCH ST,PLYMOUTH,MI,481701689,Plymouth-Canton Community Schools,"6,7,8",
Discovery Middle School,Open-Active,7344162880,45083 HANFORD RD,CANTON,MI,481872690,Plymouth-Canton Community Schools,"6,7,8",
Dodson Elementary School,Open-Active,7349818003,205 NORTH BECK RD,CANTON,MI,481874808,Plymouth-Canton Community Schools,"KG,1,2,3,4,5",
East Middle School,Open-Active,7344164950,1042 SOUTH MILL ST,PLYMOUTH,MI,481704321,Plymouth-Canton Community Schools,"6,7,8",
Eriksson Elementary School,Open-Active,7349815322,1275 NORTH HAGGERTY RD,CANTON,MI,481873707,Plymouth-Canton Community Schools,"DevK,KG,1,2,3,4,5",
Farrand Elementary School,Open-Active,7345826900,41400 GREENBRIAR LN,PLYMOUTH,MI,481702626,Plymouth-Canton Community Schools,"DevK,KG,1,2,3,4,5",
Fiegel Elementary School,Closed,7344166030,39750 JOY RD,PLYMOUTH,MI,481704731,Plymouth-Canton Community Schools,"KG-Part,1,2,3,4,5",
Field Elementary School,Open-Active,7343976330,1000 SOUTH HAGGERTY RD,CANTON,MI,481881308,Plymouth-Canton Community Schools,"DevK,KG,1,2,3,4,5",
Gallimore Elementary School,Open-Active,7344163150,8375 NORTH SHELDON RD,CANTON,MI,481871902,Plymouth-Canton Community Schools,"KG,1,2,3,4,5",
Hoben Elementary School,Open-Active,7349818670,44680 SALTZ RD,CANTON,MI,481872968,Plymouth-Canton Community Schools,"DevK-Part,KG,1,2,3,4,5",
Hulsing Elementary School,Open-Active,7344167532,8055 FLEET ST,CANTON,MI,481872006,Plymouth-Canton Community Schools,"DevK,KG,1,2,3,4,5",
International Academy @ the Park,Closed,7345825500,8400 Beck Road,Canton,MI,481871210,Plymouth-Canton Community Schools,9,
Isbister Elementary School,Open-Active,7344166050,9300 NORTH CANTON CENTER RD,PLYMOUTH,MI,481703968,Plymouth-Canton Community Schools,"DevK,KG,1,2,3,4,5",
Liberty Middle School,Open-Active,7344167600,46250 Cherry Hill,Canton,MI,481875072,Plymouth-Canton Community Schools,"6,7,8",
Miller Elementary School,Open-Active,7344164800,43721 HANFORD RD,CANTON,MI,481872809,Plymouth-Canton Community Schools,"KG,1,2,3,4,5",
Pioneer Middle School,Open-Active,7344162770,46081 ANN ARBOR RD W,PLYMOUTH,MI,481703534,Plymouth-Canton Community Schools,"6,7,8",
Plymouth High School,Open-Active,7345825500,8400 NORTH BECK RD,CANTON,MI,481871210,Plymouth-Canton Community Schools,"6,7,8,9,10,11,12",
Salem High School,Open-Active,7344162800,46181 JOY RD,CANTON,MI,481871316,Plymouth-Canton Community Schools,"6,7,8,9,10,11,12",
Smith Elementary School,Open-Active,7344164860,1298 MCKINLEY ST,PLYMOUTH,MI,481702111,Plymouth-Canton Community Schools,"KG,1,2,3,4,5",
Starkweather Academy @ Fiegel,Open-Active,7344164901,39750 Joy Rd                                                ,Plymouth                                                    ,MI,48170,Plymouth-Canton Community Schools,"10,11,12",
Tonda Elementary School,Open-Active,7344166100,46501 WARREN RD,CANTON,MI,481871463,Plymouth-Canton Community Schools,"KG,1,2,3,4,5",
West Middle School,Open-Active,7344167550,44401 WEST ANN ARBOR TRL,PLYMOUTH,MI,481703729,Plymouth-Canton Community Schools,"6,7,8",
Workman Elementary School,Open-Active,7345826700,250 NORTH DENTON RD,CANTON,MI,481872135,Plymouth-Canton Community Schools,"KG,1,2,3,4,5",
Quest Charter Academy,Open-Active,3132990534,24745 VAN BORN RD,TAYLOR,MI,481801221,Quest Charter Academy,"KG,1,2,3,4,5,6,7,8",
American International Cyber School,Closed,3132426001,27100 Bennett                                               ,Redford                                                     ,MI,482402326,"Redford Union Schools, District No. 1","9,10,11,12",
Beech Elementary,Open-Active,3132426100,19990 Beech Daly Rd.,Redford,MI,48240,"Redford Union Schools, District No. 1","2,3,4,5",
Bulman School,Closed,3132423600,15995 DELAWARE AVE,REDFORD,MI,482393904,"Redford Union Schools, District No. 1","2,3,4,5",
Elementary Day Treatment,Closed,3132423701,17715 BRADY,REDFORD,MI,482402117,"Redford Union Schools, District No. 1","KG-Part,1,2,3,4,5,6,7,8",
Hilbert Middle School,Open-Active,3132424000,26440 PURITAN,REDFORD,MI,482393922,"Redford Union Schools, District No. 1","6,7,8",
Kaselemis Center,Closed,3135334602,8100 NORTH HUBBARD ST,WESTLAND,MI,481851410,"Redford Union Schools, District No. 1","9,10,11,12",
Keeler School,Closed,3132423700,17715 Brady,Redford,MI,482402117,"Redford Union Schools, District No. 1","KG-Part,1,2,3,4,5",
MacGowan School,Open-Active,3132423801,18255 KINLOCH,REDFORD,MI,482401824,"Redford Union Schools, District No. 1","DevK,DevK-Part,KG,KG-Part,1",
Redford Union Alternative Education Center,Closed,3132424258,17711 Kinloch,REDFORD,MI,482401033,"Redford Union Schools, District No. 1","6,7,8,9,10,11,12",
Redford Union High School,Open-Active,3132424200,17711 KINLOCH,REDFORD,MI,482402246,"Redford Union Schools, District No. 1","9,10,11,12",
Redford Union Virtual Learning,Open-Active,3132423700,17715 BRADY,REDFORD,MI,482402117,"Redford Union Schools, District No. 1","6,7,8,9,10,11,12",
Roosevelt Elementary School,Closed,3135923351,15100 Aubrey,Redford,MI,482393477,"Redford Union Schools, District No. 1","1,2,3",
Roosevelt School,Closed,3135923350,15100 Aubrey,Redford,MI,482393477,"Redford Union Schools, District No. 1","KG-Part,1,2,3,4,5,6",
SouthEast Michigan Virtual Academy,Closed,3132426001,17715 Brady                                                 ,Redford                                                     ,MI,482402117,"Redford Union Schools, District No. 1","9,10,11,12",
Stuckey Center,Open-Active,3132423900,26000 Fargo,Redford,MI,48240,"Redford Union Schools, District No. 1","2,3,4,5,6,7,8,9,10,11,12",
Stuckey Elementary School,Closed,3132423900,26000 FARGO,REDFORD,MI,482401106,"Redford Union Schools, District No. 1","2,3,4,5",
Unified Middle Virtual Academy,Closed,2487035919,17715 Brady                                                 ,Redford                                                     ,MI,482402117,"Redford Union Schools, District No. 1","6,7,8",
Veritas,Open-Active,3132423250,17715 Brady                                                 ,Redford                                                     ,MI,482402117,"Redford Union Schools, District No. 1","9,10,11,12",
Regent Park Scholars Charter Academy,Open-Active,3133711300,15865 East Seven Mile Road,Detroit,MI,48205,Regent Park Scholars Charter Academy,"KG,1,2,3,4,5,6,7,8",
Regents Academy,Closed,8884732408,17715 Brady Street,Redford,MI,482402117,Regents Academy,"KG,1,2,3,4,5,6,7,8,9,10,11,12",
Academia Bilingual Academy,Closed,3132979600,163 Burke St                                                ,River Rouge                                                 ,MI,482181401,"River Rouge, School District of the City of","KG,1,2,3,4,5,6,7,8,9,10,11,12",
Ann Visger K-5 Preparatory Academy,Open-Active,3132979648,11121 WEST JEFFERSON AVE,RIVER ROUGE,MI,482181243,"River Rouge, School District of the City of","KG,1,2,3,4,5",
CB Sabbath 6-8 Preparatory Academy,Open-Active,3132979654,340 Frazier,River Rouge,MI,482181056,"River Rouge, School District of the City of","6,7,8",
CB Sabbath K-8 Preparatory Academy,Closed,3132979654,340 Frazier St.,River Rouge,MI,482181056,"River Rouge, School District of the City of","KG,1,2,3,4,5,6,7,8",
Clarence B. Sabbath School,Closed,3132979654,340 Frazier St,River Rouge,MI,482181056,"River Rouge, School District of the City of","6,7,8",
Dunn Middle School,Closed,,163 Burke St,River Rouge,MI,482181401,"River Rouge, School District of the City of",,
River Rouge High School,Open-Active,3132979600,1460 W. Coolidge Hwy.,River Rouge,MI,482181118,"River Rouge, School District of the City of","9,10,11,12",
River Rouge Middle School,Closed,3132979600,1460 Coolidge Hwy,River Rouge,MI,482181118,"River Rouge, School District of the City of","7,8",
River Rouge New Tech High International Academy,Closed,3132979600,1460 W. Coolidge Hwy.,River Rouge,MI,482181118,"River Rouge, School District of the City of","9,10",
River Rouge Outreach Academy,Closed,,1411 Coolidge Hwy,River Rouge,MI,482181118,"River Rouge, School District of the City of","6,7,8",
River Rouge Stem Academy at Dunn,Open-Active,3132979663,163 Burke Street,River Rouge,MI,482181401,"River Rouge, School District of the City of","KG,1,2,3,4,5,6,7,8",
River Rouge Virtual Preparatory Academy,Closed,3132979600,1460 Coolidge Hwy                                           ,River Rouge                                                 ,MI,482181118,"River Rouge, School District of the City of","9,10,11,12",
Walter White Kindergarten Preparatory Academy,Closed,3132979600,550 Eaton,River Rouge,MI,482181124,"River Rouge, School District of the City of",KG,
Walter White Pre Primary School,Closed,3133887226,550 Eaton St,River Rouge,MI,482181124,"River Rouge, School District of the City of",KG-Part,
Riverside Academy,Open-Active,3135860200,7124 Miller Rd                                              ,Dearborn                                                    ,MI,481261918,Riverside Academy,"KG,1,2,3,4,5",
Riverside Academy - West Campus,Open-Active,3136243600,6409 SCHAEFER RD,DEARBORN,MI,481262212,Riverside Academy,"6,7,8,9,10,11,12",
Forest Elementary School,Open-Active,7344792550,19400 HAMPTON ST,RIVERVIEW,MI,481937814,Riverview Community School District,"KG,1,2,3,4,5",
Huntington Elementary School,Open-Active,7342834820,17752 KENNEBEC ST,RIVERVIEW,MI,481937668,Riverview Community School District,"KG,1,2,3,4,5",
Memorial Elementary School,Open-Active,7342854080,13425 COLVIN ST,RIVERVIEW,MI,481936674,Riverview Community School District,"KG,1,2,3,4,5",
Riverview Community High School,Open-Active,7342857361,12431 LONGSDORF ST,RIVERVIEW,MI,481934202,Riverview Community School District,"9,10,11,12",
Riverview Virtual Academy,Open-Active,7342857361,12431 Longsdorf,Riverview,MI,481934202,Riverview Community School District,"DevK,KG,1,2,3,4,5,6,7,8,9,10,11,12",
Seitz Middle School,Open-Active,7342852043,17800 KENNEBEC ST,RIVERVIEW,MI,481937668,Riverview Community School District,"6,7,8",
Barth Elementary School,Open-Active,7345321250,38207 BARTH ST,ROMULUS,MI,481741064,Romulus Community Schools,"KG,1,2,3,4,5,6",
Community Middle/Community High School,Closed,7345321402,9650 Wayne Rd                                               ,Romulus                                                     ,MI,481741551,Romulus Community Schools,"6,7,8,9,10,11,12",
Cory Elementary School,Closed,7345321300,35200 SMITH RD,ROMULUS,MI,481741604,Romulus Community Schools,"KG,1,2,3,4,5,6",
Hale Creek Elementary School,Open-Active,7345321353,16200 HARRISON,ROMULUS,MI,481743060,Romulus Community Schools,"KG,1,2,3,4,5",
Merriman Elementary School,Closed,7345321400,15303 MERRIMAN RD,ROMULUS,MI,481743290,Romulus Community Schools,"KG,1,2,3,4,5,6",
Romulus Adult Education Alternative,Open-Active,7345321407,9650 Wayne Rd                                               ,Romulus                                                     ,MI,481741551,Romulus Community Schools,"9,10,11,12",
Romulus Baron's Academy,Closed,3139617883,115 State St,Detroit,MI,482261803,Romulus Community Schools,"9,10,11,12",
Romulus Early College,Closed,7345321610,9650 Wayne Rd                                               ,Romulus                                                     ,MI,481741551,Romulus Community Schools,"10,11,12",
Romulus Elementary School,Open-Active,7345321453,32200 BEVERLY RD,ROMULUS,MI,481744313,Romulus Community Schools,"KG-Part,1,2,3,4,5",
Romulus Middle School,Open-Active,7345321703,37300 WICK RD,ROMULUS,MI,481741370,Romulus Community Schools,"6,7,8",
Romulus Senior High School,Open-Active,7345321000,9650 WAYNE RD,ROMULUS,MI,481741551,Romulus Community Schools,"9,10,11,12",
Romulus Virtual Learning Center,Open-Active,7346321610,9650 S. Wayne Road,Romulus,MI,481741551,Romulus Community Schools,"6,7,8,9,10,11,12",
Wick Elementary School,Open-Active,7345321503,36900 WICK RD,ROMULUS,MI,481741391,Romulus Community Schools,"KG-Part,1,2,3,4,5",
Ross-Hill Academy - Elementary,Closed,3139228088,3111 ELMWOOD ST,DETROIT,MI,482072418,Ross-Hill Academy,"KG,1,2,3,4,5,6,7,8",
Ross-Hill Academy - High,Closed,3139228088,317 HARPER AVE,DETROIT,MI,482023500,Ross-Hill Academy,"9,10,11,12",
Rutherford Winans Academy,Open-Active,3138520709,16411 CURTIS ST,DETROIT,MI,482353202,Rutherford Winans Academy,"KG,1,2,3,4,5",
Sankore Marine Immersion HS Academy,Closed,3133933062,3100 E Jefferson Ave,Detroit,MI,482074221,Sankore Marine Immersion HS Academy,"9,10,11,12",
9th Grade Transition & Alternative Learning Center,Closed,7343268519,29193 Beech St                                              ,Inkster                                                     ,MI,481412003,School District of the City of Inkster,9,
Baylor Woodson Elementary School,Closed,7344675697,28865 CARLYSLE ST,INKSTER,MI,481412806,School District of the City of Inkster,"3,4,5",
Blanchette Center or Ed. & Arts,Closed,3137224014,29193 Beech St,Inkster,MI,481412003,School District of the City of Inkster,"3,4,5,6,7,8",
Blanchette Middle School,Closed,7343267041,1771 HENRY RUFF RD,INKSTER,MI,481411500,School District of the City of Inkster,"6,7,8",
Carter Woodson Elementary,Closed,3137218990,29665 Pine St,Inkster,MI,481412843,School District of the City of Inkster,"KG-Part,1,2,3,4,5",
Inkster High School,Closed,7343268519,3250 MIDDLEBELT RD,INKSTER,MI,481412055,School District of the City of Inkster,"10,11,12",
Meek-Baylor Elementary School,Closed,7343266940,28865 CARLYSLE ST,INKSTER,MI,481412806,School District of the City of Inkster,"KG,1,2,3,4,5",
Schools for the Future Detroit,Closed,2488092288,3550 John C Lodge Fwy                                       ,Detroit                                                     ,MI,482012960,Schools for the Future Detroit,"8,9,10",
Sierra Leone Ed Outreach Academy,Closed,3133692925,13477 Eureka St,Hamtramck,MI,482121754,Sierra Leone Education Outreach Academy,"KG-Part,1,2,3,4,5",
South Canton Scholars Charter Academy,Open-Active,7343985658,3085 South Canton Center Road,Canton,MI,48188,South Canton Scholars Charter Academy,"KG,1,2,3,4,5,6,7,8",
Fisher Elementary School,Open-Active,3135322455,10000 CROSLEY,REDFORD,MI,482392006,South Redford School District,"KG,1,2,3,4,5",
Jane Addams Elementary School,Open-Active,3135328064,14025 BERWYN,REDFORD,MI,482392904,South Redford School District,"KG,1,2,3,4,5",
John D. Pierce Middle School,Open-Active,3139378880,25605 ORANGELAWN,REDFORD,MI,482392048,South Redford School District,"6,7,8",
Lee M. Thurston High School,Open-Active,3132420600,26255 SCHOOLCRAFT,REDFORD,MI,482392775,South Redford School District,"9,10,11,12",
SOAR Academic Institute,Open-Active,3135354000,26141 Schoolcraft                                           ,Redford                                                     ,MI,482392775,South Redford School District,"6,7,8,9,10,11,12",
Thomas Jefferson Elem. School,Open-Active,3139372330,26555 WESTFIELD,REDFORD,MI,482391844,South Redford School District,"KG,1,2,3,4,5",
Vandenberg Elementary School,Open-Active,3135320300,24901 CATHEDRAL,REDFORD,MI,482391559,South Redford School District,"KG,1,2,3,4,5",
Allen Elementary School,Open-Active,7342464644,16500 MCCANN ST,SOUTHGATE,MI,481952940,Southgate Community School District,"DevK,KG,1,2,3,4,5",
Asher School,Open-Active,7342464633,14101 LEROY ST,SOUTHGATE,MI,481952052,Southgate Community School District,"9,10,11,12",
Beacon Day Treatment Center,Open-Active,3135512790,12601 Mccann St                                             ,Southgate                                                   ,MI,481952331,Southgate Community School District,"KG,1,2,3,4,5,6,7,8,9,10,11,12",
Chormann Elem School,Closed,7342464650,15500 HOWARD ST,SOUTHGATE,MI,481953193,Southgate Community School District,"KG,1,2,3,4,5",
Davidson Middle School,Open-Active,7342464628,15800 TRENTON RD,SOUTHGATE,MI,481952085,Southgate Community School District,"6,7,8",
Fordline Elementary School,Open-Active,7342464640,14775 FORDLINE ST,SOUTHGATE,MI,481952567,Southgate Community School District,"KG,1,2,3,4,5",
Gerisch Middle School,Closed,7342464623,12601 MCCANN ST,SOUTHGATE,MI,481952331,Southgate Community School District,"6,7",
Grogan Elementary School,Open-Active,7342464642,13300 BURNS ST,SOUTHGATE,MI,481951865,Southgate Community School District,"DevK,KG,1,2,3,4,5",
North Pointe School,Closed,7342874724,18635 BOWIE ST,SOUTHGATE,MI,481952805,Southgate Community School District,,
Shelters Elementary School,Open-Active,7342464631,12600 FORDLINE ST,SOUTHGATE,MI,481952306,Southgate Community School District,"KG,1,2,3,4,5",
Southgate Anderson High School,Open-Active,7342464611,15475 LEROY ST,SOUTHGATE,MI,481952641,Southgate Community School District,"9,10,11,12",
Sp Ed - Transitions,Closed,7342464619,14685 NORTHLINE RD,SOUTHGATE,MI,481952483,Southgate Community School District,12,
Virtual Academy,Closed,7342464648,14600 Dix-Toledo Road,Southgate,MI,481952570,Southgate Community School District,"10,11,12",
Southwest Detroit Community School,Open-Active,3137824422,4001 29th St                                                ,Detroit                                                     ,MI,482102601,Southwest Detroit Community School,"KG,1,2,3,4,5,6,7,8",
Star International Academy,Open-Active,3137248990,24425 HASS ST,DEARBORN HEIGHTS,MI,481273275,Star International Academy,"KG,1,2,3,4,5,6,7,8,9,10,11,12",
Star International Academy (K),Closed,3137248060,22579 Ann Arbor,Dearborn,MI,48127,Star International Academy,KG-Part,
Starr Detroit Academy,Closed,3136492200,19360 Harper Ave                                            ,Harper Woods                                                ,MI,48225,Starr Detroit Academy,"KG,1,2,3,4,5,6,7,8",
Summit Academy,Open-Active,7343796810,30100 OLMSTEAD RD,FLAT ROCK,MI,481349619,Summit Academy,"KG,1,2,3,4,5,6,7,8",
Summit Academy High School,Closed,7349551730,18601 Middlebelt Rd,Romulus,MI,481749290,Summit Academy,"9,10,11,12",
Summit Academy Middle School,Closed,7349551712,18601 Middlebelt Rd,Romulus,MI,481749290,Summit Academy,"6,7,8",
Summit Academy North Elementary School,Open-Active,7347891428,28697 SIBLEY RD,HURON TOWNSHIP,MI,481749736,Summit Academy North,"KG,1,2,3,4,5",
Summit Academy North High School,Open-Active,7349551730,18601 MIDDLEBELT RD,HURON TOWNSHIP,MI,481749290,Summit Academy North,"9,10,11,12",
Summit Academy North Middle School,Open-Active,7349551712,18601 MIDDLEBELT RD,HURON TOWNSHIP,MI,481749290,Summit Academy North,"6,7,8",
Taylor Exemplar Academy,Open-Active,7349417742,26727 GODDARD RD,TAYLOR,MI,481803912,Taylor Exemplar Academy,"KG,1,2,3,4,5,6,7,8",
Taylor Preparatory High School,Open-Active,3136682100,9540 Telegraph Rd                                           ,Taylor                                                      ,MI,481803356,Taylor Preparatory High School,"9,10,11,12",
Bernice McDowell Elem. School,Open-Active,7343741240,22929 BREST,TAYLOR,MI,481804176,Taylor School District,"KG,1,2,3,4,5",
Blair Moody Elementary School,Open-Active,3132955807,8280 HIPP ST,TAYLOR,MI,481802958,Taylor School District,"KG,1,2,3,4,5",
Clarence Randall Elem. School,Open-Active,3132955812,8699 ROBERT ST,TAYLOR,MI,481802332,Taylor School District,"KG,1,2,3,4,5",
Eureka Heights Elementary School,Open-Active,7349466597,25125 EUREKA RD,TAYLOR,MI,481806432,Taylor School District,"KG,1,2,3,4,5",
Eurekadale Elementary School,Closed,7349466593,14616 Duncan St,Taylor,MI,481804464,Taylor School District,"KG-Part,1,2,3,4,5,6",
Federal Elementary School,Closed,3132955790,27280 Powers Ave,Dearborn Heights,MI,481251332,Taylor School District,,
Fischer Elementary School,Closed,3132955793,8882 BEECH DALY RD,TAYLOR,MI,481802012,Taylor School District,"KG,1,2,3,4,5",
Holland Elementary School,Open-Active,3132955795,10201 HOLLAND RD,TAYLOR,MI,481803050,Taylor School District,"KG,1,2,3,4,5",
Hoover Middle School,Open-Active,3132955775,27101 BEVERLY RD,TAYLOR,MI,481801045,Taylor School District,"6,7,8",
John F. Kennedy High School,Closed,7343741229,13505 J F KENNEDY DR,TAYLOR,MI,48180    ,Taylor School District,"9,10,11,12",
Kinyon Elementary School,Open-Active,3132955802,10455 MONROE BLVD,TAYLOR,MI,481803630,Taylor School District,"KG,1,2,3,4,5",
Myers Elementary School,Open-Active,7349466602,16201 LAUREN ST,TAYLOR,MI,481804854,Taylor School District,"KG,1,2,3,4,5",
Racho Elementary School,Closed,3132958348,9550 Monroe Blvd,Taylor,MI,481803616,Taylor School District,"KG-Part,1,2,3,4,5,6",
Robert J. West Middle School,Open-Active,3132955783,10575 WILLIAM ST,TAYLOR,MI,481803728,Taylor School District,"6,7,8",
Sixth Grade Academy,Closed,7343741227,13500 PINE ST,TAYLOR,MI,481804613,Taylor School District,6,
Taylor Center High School,Closed,3132955700,24715 Wick Rd,Taylor,MI,481803316,Taylor School District,"9,10,11,12",
Taylor High School,Open-Active,7349466551,11211 BEECH DALY RD,TAYLOR,MI,481803942,Taylor School District,"9,10,11,12",
Taylor Parks Elementary School,Open-Active,7343741246,20614 PINECREST ST,TAYLOR,MI,481801905,Taylor School District,"KG,1,2,3,4,5",
Taylor Virtual Learning Academy,Open-Active,3132955757,9601 Westalke,Taylor,MI,481803129,Taylor School District,"6,7,8,9,10,11,12",
Titan Alternative High School,Closed,7349466590,9551 WESTLAKE ST,TAYLOR,MI,481803173,Taylor School District,"8,9,10,11,12",
Treadwell Elementary School,Closed,3132955813,6375 Inkster Rd,Taylor,MI,481801029,Taylor School District,"KG-Part,1,2",
Wareing Elementary School,Closed,3132955816,24800 Hayes St,Taylor,MI,481802105,Taylor School District,"KG-Part,1,2,3,4,5,6",
The Dearborn Academy,Open-Active,3139821300,19310 FORD RD,DEARBORN,MI,481282403,The Dearborn Academy,"KG,1,2,3,4,5,6,7,8",
The James and Grace Lee Boggs School,Open-Active,3139232301,4141 Mitchell St                                            ,Detroit                                                     ,MI,482071620,The James and Grace Lee Boggs School,"KG,1,2,3,4,5,6,7,8",
